Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,Salary,SalaryType,ConvertedSalary
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,0-2 years,100000.0,Yearly,100000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,3-5 years,140000.0,,140000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Full-stack developer,30 or more years,130000.0,Yearly,130000.0
No,Yes,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Data scientist or machine learning specialist,12-14 years,120000.0,Yearly,120000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)","5,000 to 9,999 employees",Back-end developer;Data scientist or machine learning specialist,30 or more years,165000.0,,165000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,6-8 years,78000.0,,78000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Data or business analyst;Data scientist or machine learning specialist,9-11 years,115.0,Yearly,115.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;DevOps specialist;System administrator,12-14 years,100000.0,Yearly,100000.0
No,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data scientist or machine learning specialist;Engineering manager,18-20 years,250000.0,,250000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,100 to 499 employees,Data scientist or machine learning specialist,12-14 years,194600.0,,194600.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer,3-5 years,80000.0,Yearly,80000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,6-8 years,110000.0,,110000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Full-stack developer,9-11 years,152000.0,Yearly,152000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;System administrator,21-23 years,180000.0,Yearly,180000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher,18-20 years,135000.0,Yearly,135000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,500 to 999 employees,Data scientist or machine learning specialist,12-14 years,100000.0,Yearly,100000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator,18-20 years,145000.0,Yearly,145000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist,0-2 years,76000.0,Yearly,76000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer;Engineering manager;Product manager;QA or test developer,30 or more years,88000.0,Yearly,88000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist,9-11 years,65000.0,,65000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator,24-26 years,154000.0,Yearly,154000.0
Yes,No,United States,"Yes, full-time",Employed part-time,Some college/university study without earning a degree,,"10,000 or more employees",Data scientist or machine learning specialist;Student,3-5 years,970.0,Weekly,48500.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Database administrator;Educator or academic researcher;Front-end developer;Full-stack developer,3-5 years,74000.0,,74000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Product manager,6-8 years,175000.0,Yearly,175000.0
Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator,21-23 years,185000.0,Yearly,185000.0
Yes,No,United States,"Yes, full-time",Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Data scientist or machine learning specialist;Educator or academic researcher;Student,6-8 years,20000.0,Monthly,240000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,30 or more years,210000.0,,210000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist,3-5 years,80000.0,Yearly,80000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;System administrator,18-20 years,159000.0,Yearly,159000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher;Front-end developer;Student,6-8 years,30000.0,,30000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer,9-11 years,115000.0,Weekly,2000000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Data scientist or machine learning specialist,12-14 years,85000.0,Yearly,85000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;System administrator,27-29 years,150000.0,,150000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;Mobile developer,6-8 years,250000.0,Yearly,250000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;QA or test developer;Student;System administrator,6-8 years,70000.0,Yearly,70000.0
No,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist,6-8 years,85000.0,Yearly,85000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)","10,000 or more employees",Data scientist or machine learning specialist;Full-stack developer,6-8 years,108000.0,Yearly,108000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,12-14 years,78500.0,Yearly,78500.0
No,Yes,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Database administrator;Student,12-14 years,34000.0,,34000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","10,000 or more employees",Data scientist or machine learning specialist;Embedded applications or devices developer;Engineering manager;Full-stack developer,24-26 years,170000.0,Yearly,170000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,21-23 years,135000.0,,135000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Mobile developer,6-8 years,103000.0,,103000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Database administrator;Designer;Embedded applications or devices developer,9-11 years,120000.0,,120000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist,21-23 years,137500.0,Yearly,137500.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,100 to 499 employees,Data scientist or machine learning specialist,3-5 years,50000.0,Yearly,50000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,20 to 99 employees,Data scientist or machine learning specialist;Engineering manager;Marketing or sales professional,12-14 years,200000.0,Yearly,200000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,100 to 499 employees,Data scientist or machine learning specialist,6-8 years,130000.0,,130000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Front-end developer;Full-stack developer,15-17 years,100000.0,Yearly,100000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,"10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Full-stack developer,6-8 years,63000.0,Yearly,63000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist;DevOps specialist;System administrator,24-26 years,65000.0,Yearly,65000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;Database administrator;Engineering manager;Product manager;System administrator",18-20 years,75000.0,Yearly,75000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;QA or test developer,9-11 years,140000.0,Yearly,140000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Front-end developer;Full-stack developer;Mobile developer;System administrator,9-11 years,106000.0,Yearly,106000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,"5,000 to 9,999 employees",Data scientist or machine learning specialist;Full-stack developer,6-8 years,150000.0,Yearly,150000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","10,000 or more employees",Data scientist or machine learning specialist;Embedded applications or devices developer;Full-stack developer;Marketing or sales professional;Product manager,15-17 years,165000.0,Yearly,165000.0
Yes,No,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,15-17 years,107000.0,,107000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,3-5 years,130000.0,Yearly,130000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,6-8 years,68000.0,Yearly,68000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;System administrator,6-8 years,78000.0,Monthly,936000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,112000.0,,112000.0
No,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Full-stack developer,9-11 years,105000.0,Yearly,105000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist,15-17 years,82500.0,,82500.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,18-20 years,256000.0,Yearly,256000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;System administrator,12-14 years,125000.0,Yearly,125000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data scientist or machine learning specialist,3-5 years,90000.0,Monthly,1080000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"5,000 to 9,999 employees",Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist,6-8 years,90000.0,Yearly,90000.0
No,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",10 to 19 employees,Data scientist or machine learning specialist,12-14 years,115000.0,,115000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)","5,000 to 9,999 employees",Data scientist or machine learning specialist;Desktop or enterprise applications developer,9-11 years,110000.0,Yearly,110000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,"5,000 to 9,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist,3-5 years,60000.0,Yearly,60000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;System administrator,9-11 years,74100.0,Yearly,74100.0
Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,I never declared a major,20 to 99 employees,Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;Full-stack developer;Mobile developer,6-8 years,85000.0,Yearly,85000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer,15-17 years,150000.0,Yearly,150000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,100 to 499 employees,Data scientist or machine learning specialist,6-8 years,65000.0,Yearly,65000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)",100 to 499 employees,Data scientist or machine learning specialist,3-5 years,130000.0,,130000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Data scientist or machine learning specialist;Full-stack developer,6-8 years,142000.0,,142000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A social science (ex. anthropology, psychology, political science)","5,000 to 9,999 employees",Data scientist or machine learning specialist;Educator or academic researcher;Full-stack developer;QA or test developer;System administrator,9-11 years,126000.0,Yearly,126000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A social science (ex. anthropology, psychology, political science)","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,9-11 years,110000.0,,110000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,Fewer than 10 employees,Data scientist or machine learning specialist,3-5 years,150000.0,Yearly,150000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Embedded applications or devices developer;Product manager,6-8 years,100000.0,Yearly,100000.0
Yes,Yes,United States,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,20 to 99 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;QA or test developer,30 or more years,120000.0,,120000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data scientist or machine learning specialist,12-14 years,130000.0,,130000.0
Yes,No,United States,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Engineering manager;Front-end developer;Full-stack developer,9-11 years,120000.0,Yearly,120000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;Desktop or enterprise applications developer;Product manager,6-8 years,12000.0,Monthly,144000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Mobile developer,6-8 years,130000.0,Yearly,130000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist,3-5 years,135000.0,Yearly,135000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Designer,21-23 years,120000.0,Yearly,120000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees","C-suite executive (CEO, CTO, etc.);Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;DevOps specialist;Embedded applications or devices developer;Full-stack developer;System administrator",9-11 years,6.31,Yearly,75126.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist;Product manager,12-14 years,165000.0,Yearly,165000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",500 to 999 employees,Data scientist or machine learning specialist,3-5 years,82000.0,,82000.0
Yes,No,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;Engineering manager;Front-end developer;Full-stack developer;Product manager",18-20 years,165000.0,Yearly,165000.0
Yes,Yes,United States,No,"Independent contractor, freelancer, or self-employed","Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;Educator or academic researcher;Front-end developer;Full-stack developer",15-17 years,160000.0,Yearly,160000.0
Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,I never declared a major,,Data scientist or machine learning specialist;Designer;DevOps specialist,30 or more years,150000.0,Yearly,150000.0
Yes,Yes,United States,No,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",,Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher,6-8 years,55000.0,Yearly,55000.0
Yes,Yes,United States,No,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Data scientist or machine learning specialist;Database administrator;Educator or academic researcher;Full-stack developer;Product manager,9-11 years,140000.0,Yearly,140000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",,Data scientist or machine learning specialist;Full-stack developer;Student,6-8 years,28000.0,,28000.0
Yes,No,United States,No,"Independent contractor, freelancer, or self-employed","Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",,Data scientist or machine learning specialist,6-8 years,80000.0,Yearly,80000.0
Yes,Yes,United States,"Yes, full-time","Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher;Student,6-8 years,150000.0,Yearly,150000.0
Yes,No,United States,No,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Embedded applications or devices developer,30 or more years,155000.0,Yearly,155000.0
Yes,Yes,United States,No,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;DevOps specialist;Full-stack developer",6-8 years,240000.0,Yearly,240000.0
Yes,No,United States,No,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",,Data or business analyst;Data scientist or machine learning specialist;Database administrator,3-5 years,45000.0,Yearly,45000.0
No,Yes,United States,No,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Marketing or sales professional;System administrator",24-26 years,150000.0,Yearly,150000.0
Yes,No,United States,No,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",,Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,30 or more years,140000.0,Yearly,140000.0
Yes,No,United States,"Yes, full-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Data scientist or machine learning specialist;Educator or academic researcher;Student,9-11 years,2200.0,Monthly,26400.0
Yes,No,United States,No,"Independent contractor, freelancer, or self-employed",Primary/elementary school,,,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Data scientist or machine learning specialist;Full-stack developer;Marketing or sales professional;Product manager",9-11 years,150000.0,Yearly,150000.0
Yes,Yes,United States,No,"Independent contractor, freelancer, or self-employed",I never completed any formal education,,,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Educator or academic researcher;Embedded applications or devices developer;Engineering manager;Front-end developer;Full-stack developer;Game or graphics developer;Marketing or sales professional;Mobile developer;Product manager;QA or test developer;Student;System administrator",15-17 years,897.0,Monthly,10764.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,,Data scientist or machine learning specialist;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,9-11 years,98000.0,,98000.0
Yes,Yes,United States,No,"Independent contractor, freelancer, or self-employed","Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Desktop or enterprise applications developer,12-14 years,1750.0,Weekly,87500.0
No,No,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher;Front-end developer;Full-stack developer,9-11 years,56000.0,Yearly,56000.0
